feedback_id,visit_date,store_code,customer_name,customer_email,user_category,product_looking_for,reason_for_non_purchase,ground_truth_topic
291,2026-05-04,X5,Pooja Mehta,pooja.mehta96@yahoo.com,Teen-age Girls,Finger Rings,"I just came in to compare prices today, will revisit later for the finger rings.",Others
292,2026-03-28,X6,Emma Clark,emma.clark44@hotmail.com,Teen-age Girls,Finger Rings,The hallmark and purity details on the finger rings were not clearly communicated.,Quality Concerns
293,2026-03-28,X5,Mia Reddy,mia.reddy37@yahoo.com,Wedding,Ear Rings,Was looking for a rose gold finish on ear rings; could not find a matching piece. It was for everyday wear.,Color/Finish Mismatch
294,2026-04-01,X5,Mia Wilson,mia.wilson97@yahoo.com,Office-going Women,Finger Rings,I wasn't fully convinced about the finish quality on the finger rings I tried. The piece was meant for birthday.,Quality Concerns
295,2026-05-05,X1,Mia Iyer,mia.iyer20@yahoo.com,Birthday,Finger Rings,Looking for size 6 in finger rings. The sizes available didn't fit. Specifically for birthday use.,Size Unavailable
296,2026-04-21,X4,Rohit Mehta,rohit.mehta36@icloud.com,Everyday Wear,Finger Rings,Looking for size 12 in finger rings. The sizes available didn't fit.,Size Unavailable
297,2026-04-21,X1,Mia Nair,mia.nair64@icloud.com,Birthday,Anklets,Wanted a slight design change on the anklets; staff said customization is not possible right now.,Customization Not Offered
298,2026-04-14,X3,Ava Mehta,ava.mehta41@gmail.com,Babies,Necklace,The polish/finishing on the necklace looked uneven to me.,Quality Concerns
299,2026-04-30,X2,Rohit Sharma,rohit.sharma78@icloud.com,Everyday Wear,Finger Rings,Was hoping to find a vintage band style in finger rings. Nothing matched what I had in mind.,Design Unavailable
300,2026-03-17,X1,Arjun Davis,arjun.davis15@outlook.com,Teen-age Girls,Necklace,Found a beautiful necklace but it crossed my below 1 lakh budget by a lot.,Price Too High
301,2026-03-25,X1,Chloe Nair,chloe.nair87@icloud.com,Office-going Women,Bangles,The bangles I liked wasn't available in size 8.,Size Unavailable
302,2026-04-17,X2,Charlotte Nair,charlotte.nair53@icloud.com,Babies,Ear Rings,Found a beautiful ear rings but it crossed my under 50k budget by a lot. It was for teen-age girls.,Price Too High
303,2026-04-28,X2,Pooja Taylor,pooja.taylor27@icloud.com,Teen-age Girls,Ear Rings,The polish/finishing on the ear rings looked uneven to me.,Quality Concerns
304,2026-04-28,X1,Emma Reddy,emma.reddy96@icloud.com,Teen-age Girls,Ear Rings,Family member wanted to be present before buying the ear rings. It was for wedding.,Others
305,2026-02-27,X2,Sophia Johnson,sophia.johnson35@icloud.com,Office-going Women,Bangles,The polish/finishing on the bangles looked uneven to me.,Quality Concerns
306,2026-04-22,X4,Emma Iyer,emma.iyer40@hotmail.com,Teen-age Girls,Finger Rings,Looking for size 8 in finger rings. The sizes available didn't fit.,Size Unavailable
307,2026-03-08,X5,Rohit Clark,rohit.clark29@outlook.com,Babies,Necklace,Wanted a slight design change on the necklace; staff said customization is not possible right now.,Customization Not Offered
308,2026-03-28,X6,Mia Wilson,mia.wilson23@hotmail.com,Teen-age Girls,Bangles,"Prices on bangles were higher than I expected, I had a budget of under 10k. The piece was meant for wedding.",Price Too High
309,2026-02-27,X5,Anjali Iyer,anjali.iyer49@gmail.com,Teen-age Girls,Anklets,I wanted something under 15g for daily wear but the anklets options shown were heavier.,Weight Concerns
310,2026-03-18,X6,Arjun Verma,arjun.verma64@yahoo.com,Everyday Wear,Bangles,The bangles I liked was way over my budget. I was hoping for something below 1 lakh.,Price Too High
311,2026-05-05,X3,Priya Wilson,priya.wilson40@icloud.com,Birthday,Bangles,"My family wanted a star design design in bangles, but the available designs were very limited.",Design Unavailable
312,2026-03-12,X2,Noah Sharma,noah.sharma21@icloud.com,Everyday Wear,Finger Rings,The finger rings I wanted to buy is completely out of stock at the moment. The piece was meant for everyday wear.,Stock Unavailable
313,2026-03-01,X1,Harper Khan,harper.khan8@icloud.com,Birthday,Bangles,"My family wanted a thin polki design in bangles, but the available designs were very limited.",Design Unavailable
314,2026-03-10,X5,Vikram Sharma,vikram.sharma4@outlook.com,Wedding,Necklace,Asked if the necklace can be customized with engraving; was told no. Specifically for wedding use.,Customization Not Offered
315,2026-02-27,X2,Lily Anderson,lily.anderson58@gmail.com,Babies,Bangles,Saw the exact bangles I wanted in the catalogue but it's not in the store currently. Specifically for babies use.,Stock Unavailable
316,2026-04-02,X5,Pooja Brown,pooja.brown91@hotmail.com,Office-going Women,Necklace,Wanted made-to-order in necklace; the lead time of 6-8 weeks didn't work for me. It was for wedding.,Customization Not Offered
317,2026-03-05,X5,Ethan Reddy,ethan.reddy7@icloud.com,Wedding,Bangles,Was actually looking for a different category but happened to browse bangles too.,Others
318,2026-03-19,X1,Ethan Khan,ethan.khan84@gmail.com,Birthday,Finger Rings,The finger rings I liked wasn't available in adjustable.,Size Unavailable
319,2026-04-26,X6,Olivia Davis,olivia.davis44@hotmail.com,Office-going Women,Ear Rings,I wanted something under 15g for daily wear but the ear rings options shown were heavier.,Weight Concerns
320,2026-05-02,X5,Anjali Patel,anjali.patel17@icloud.com,Everyday Wear,Ear Rings,Saw a kundan design online and wanted the same in ear rings here. Not available.,Design Unavailable
321,2026-04-30,X2,Ava Brown,ava.brown71@hotmail.com,Office-going Women,Finger Rings,"My family wanted a solitaire design in finger rings, but the available designs were very limited. Specifically for wedding use.",Design Unavailable
322,2026-02-22,X6,Sophia Nair,sophia.nair92@outlook.com,Teen-age Girls,Bangles,"Prices on bangles were higher than I expected, I had a budget of under 50k.",Price Too High
323,2026-04-26,X3,Meera Johnson,meera.johnson4@hotmail.com,Wedding,Necklace,Was hoping to find a pendant set style in necklace. Nothing matched what I had in mind.,Design Unavailable
324,2026-03-02,X4,Sophia Verma,sophia.verma10@gmail.com,Everyday Wear,Anklets,Wanted made-to-order in anklets; the lead time of 6-8 weeks didn't work for me. Specifically for everyday wear use.,Customization Not Offered
325,2026-04-18,X2,Liam Taylor,liam.taylor63@icloud.com,Wedding,Bangles,Found a beautiful bangles but it crossed my under 25k budget by a lot. It was for office-going women.,Price Too High
326,2026-02-26,X3,Neha Clark,neha.clark63@gmail.com,Teen-age Girls,Finger Rings,Waited a long time to be attended for the finger rings I wanted to see. Specifically for wedding use.,Sales Service
327,2026-04-20,X6,Mia Mehta,mia.mehta73@hotmail.com,Babies,Finger Rings,The polish/finishing on the finger rings looked uneven to me. It was for office-going women.,Quality Concerns
328,2026-04-14,X5,Anjali Khan,anjali.khan47@gmail.com,Wedding,Ear Rings,Looking for small studs in ear rings. The sizes available didn't fit. It was for teen-age girls.,Size Unavailable
329,2026-03-19,X4,Priya Patel,priya.patel10@yahoo.com,Wedding,Finger Rings,Looking for adjustable in finger rings. The sizes available didn't fit.,Size Unavailable
330,2026-04-29,X6,Aarav Brown,aarav.brown70@outlook.com,Birthday,Finger Rings,I wasn't fully convinced about the finish quality on the finger rings I tried.,Quality Concerns
331,2026-02-16,X1,Sanjana Verma,sanjana.verma67@outlook.com,Everyday Wear,Ear Rings,Found a beautiful ear rings but it crossed my below 1 lakh budget by a lot.,Price Too High
332,2026-04-29,X6,Aarav Davis,aarav.davis22@gmail.com,Babies,Anklets,I came specifically looking for a paayal with ghungroo anklets but the store didn't have it. It was for office-going women.,Design Unavailable
333,2026-05-03,X3,Lucas Nair,lucas.nair61@outlook.com,Office-going Women,Finger Rings,Looking for size 8 in finger rings. The sizes available didn't fit.,Size Unavailable
334,2026-02-13,X2,Noah Brown,noah.brown18@gmail.com,Wedding,Ear Rings,Was told the ear rings model is sold out and would take 3-4 weeks to restock.,Stock Unavailable
335,2026-03-26,X5,Grace Johnson,grace.johnson71@outlook.com,Teen-age Girls,Ear Rings,Was looking for a white gold finish on ear rings; could not find a matching piece. The piece was meant for wedding.,Color/Finish Mismatch
336,2026-03-28,X6,Grace Verma,grace.verma62@yahoo.com,Babies,Bangles,"I just came in to compare prices today, will revisit later for the bangles.",Others
337,2026-03-17,X3,Anjali Clark,anjali.clark6@yahoo.com,Babies,Ear Rings,The ear rings I liked was way over my budget. I was hoping for something under 10k.,Price Too High
338,2026-05-07,X5,Grace Reddy,grace.reddy28@yahoo.com,Birthday,Bangles,Was actually looking for a different category but happened to browse bangles too.,Others
339,2026-03-15,X5,Riya Wilson,riya.wilson93@hotmail.com,Office-going Women,Bangles,"I just came in to compare prices today, will revisit later for the bangles. The piece was meant for everyday wear.",Others
340,2026-03-04,X3,Neha Johnson,neha.johnson60@hotmail.com,Office-going Women,Ear Rings,Was looking for a silver tone finish on ear rings; could not find a matching piece. The piece was meant for teen-age girls.,Color/Finish Mismatch
341,2026-03-12,X1,Anjali Wilson,anjali.wilson6@hotmail.com,Babies,Necklace,"My family wanted a temple design design in necklace, but the available designs were very limited.",Design Unavailable
342,2026-03-26,X3,Ethan Taylor,ethan.taylor45@yahoo.com,Babies,Anklets,My daughter needed 10 inch anklets; could not find the right size.,Size Unavailable
343,2026-05-04,X4,Sophia Wilson,sophia.wilson43@yahoo.com,Everyday Wear,Bangles,Found a beautiful bangles but it crossed my under 25k budget by a lot.,Price Too High
344,2026-04-03,X3,Ethan Taylor,ethan.taylor57@outlook.com,Office-going Women,Anklets,Needed 9 inch for anklets but staff said it's out of stock right now. It was for teen-age girls.,Size Unavailable
345,2026-03-18,X4,Vikram Wilson,vikram.wilson41@outlook.com,Wedding,Finger Rings,Needed size 8 for finger rings but staff said it's out of stock right now. The piece was meant for babies.,Size Unavailable
346,2026-03-15,X2,Olivia Smith,olivia.smith20@gmail.com,Teen-age Girls,Ear Rings,Was told the ear rings model is sold out and would take 3-4 weeks to restock.,Stock Unavailable
347,2026-03-04,X5,Chloe Nair,chloe.nair93@yahoo.com,Office-going Women,Ear Rings,Wanted the ear rings in rose gold but only yellow gold was available. The piece was meant for wedding.,Color/Finish Mismatch
348,2026-04-27,X4,Sneha Mehta,sneha.mehta74@icloud.com,Birthday,Finger Rings,The sales staff was busy and I couldn't get enough help while choosing the finger rings.,Sales Service
349,2026-03-05,X2,Ishita Reddy,ishita.reddy20@yahoo.com,Teen-age Girls,Necklace,Found a beautiful necklace but it crossed my under 25k budget by a lot.,Price Too High
350,2026-02-27,X6,Lily Smith,lily.smith7@hotmail.com,Teen-age Girls,Anklets,Was looking for a silver tone finish on anklets; could not find a matching piece.,Color/Finish Mismatch
351,2026-05-06,X6,Pooja Sharma,pooja.sharma49@yahoo.com,Everyday Wear,Bangles,I came specifically looking for a minimal everyday bangles but the store didn't have it.,Design Unavailable
352,2026-03-31,X3,Kavya Smith,kavya.smith89@yahoo.com,Everyday Wear,Anklets,Looking for kids size in anklets. The sizes available didn't fit. Specifically for birthday use.,Size Unavailable
353,2026-05-03,X2,Emma Brown,emma.brown12@hotmail.com,Wedding,Bangles,Found a beautiful bangles but it crossed my below 1 lakh budget by a lot. The piece was meant for office-going women.,Price Too High
354,2026-03-29,X3,Zoe Nair,zoe.nair54@outlook.com,Babies,Bangles,My daughter needed size 8 bangles; could not find the right size.,Size Unavailable
355,2026-04-11,X1,Emma Wilson,emma.wilson58@outlook.com,Babies,Bangles,"My family wanted a kada design in bangles, but the available designs were very limited.",Design Unavailable
356,2026-04-23,X3,Sneha Nair,sneha.nair82@outlook.com,Birthday,Finger Rings,Was told the finger rings model is sold out and would take 3-4 weeks to restock.,Stock Unavailable
357,2026-04-11,X2,Liam Reddy,liam.reddy64@icloud.com,Everyday Wear,Bangles,Asked if the bangles can be customized with engraving; was told no.,Customization Not Offered
358,2026-03-19,X2,Ethan Reddy,ethan.reddy20@yahoo.com,Wedding,Anklets,The sales staff was busy and I couldn't get enough help while choosing the anklets.,Sales Service
359,2026-04-16,X1,Riya Smith,riya.smith23@icloud.com,Babies,Bangles,Asked if the bangles can be customized with engraving; was told no.,Customization Not Offered
360,2026-03-08,X6,Sneha Reddy,sneha.reddy91@hotmail.com,Wedding,Bangles,"My family wanted a thin polki design in bangles, but the available designs were very limited. It was for wedding.",Design Unavailable
361,2026-04-30,X3,Amelia Sharma,amelia.sharma19@outlook.com,Teen-age Girls,Bangles,My daughter needed kids size bangles; could not find the right size. The piece was meant for wedding.,Size Unavailable
362,2026-02-11,X2,Olivia Clark,olivia.clark88@gmail.com,Office-going Women,Necklace,The necklace I liked was way over my budget. I was hoping for something under 25k. Specifically for birthday use.,Price Too High
363,2026-03-08,X1,Sophia Anderson,sophia.anderson78@hotmail.com,Everyday Wear,Finger Rings,Looking for size 6 in finger rings. The sizes available didn't fit.,Size Unavailable
364,2026-02-27,X5,Charlotte Patel,charlotte.patel56@yahoo.com,Office-going Women,Anklets,The polish/finishing on the anklets looked uneven to me.,Quality Concerns
365,2026-05-09,X6,Arjun Anderson,arjun.anderson1@hotmail.com,Wedding,Finger Rings,The hallmark and purity details on the finger rings were not clearly communicated. Specifically for babies use.,Quality Concerns
366,2026-04-29,X6,Liam Reddy,liam.reddy51@yahoo.com,Teen-age Girls,Anklets,The anklets I wanted to buy is completely out of stock at the moment.,Stock Unavailable
367,2026-02-22,X6,Kavya Anderson,kavya.anderson84@yahoo.com,Teen-age Girls,Anklets,Asked if the anklets can be customized with engraving; was told no.,Customization Not Offered
368,2026-04-27,X2,Mia Wilson,mia.wilson50@outlook.com,Birthday,Ear Rings,My daughter needed extra small for kids ear rings; could not find the right size. Specifically for wedding use.,Size Unavailable
369,2026-04-18,X6,Vikram Taylor,vikram.taylor67@icloud.com,Everyday Wear,Finger Rings,Found a beautiful finger rings but it crossed my below 1 lakh budget by a lot.,Price Too High
370,2026-03-05,X2,Zoe Sharma,zoe.sharma95@gmail.com,Teen-age Girls,Anklets,"Looking for a under 15g for daily wear anklets, but in-store stock was much heavier.",Weight Concerns
371,2026-04-27,X3,Meera Smith,meera.smith90@yahoo.com,Babies,Anklets,Needed 10 inch for anklets but staff said it's out of stock right now.,Size Unavailable
372,2026-03-04,X3,Sophia Clark,sophia.clark2@hotmail.com,Office-going Women,Anklets,My daughter needed 10 inch anklets; could not find the right size. Specifically for everyday wear use.,Size Unavailable
373,2026-04-16,X1,Sanjana Reddy,sanjana.reddy18@yahoo.com,Office-going Women,Bangles,Wanted the bangles in antique finish but only yellow gold was available. Specifically for wedding use.,Color/Finish Mismatch
374,2026-02-12,X4,Olivia Khan,olivia.khan66@icloud.com,Babies,Necklace,"I just came in to compare prices today, will revisit later for the necklace.",Others
375,2026-03-16,X6,Harper Patel,harper.patel91@yahoo.com,Wedding,Bangles,Was hoping to find a thin polki style in bangles. Nothing matched what I had in mind.,Design Unavailable
376,2026-02-23,X6,Liam Verma,liam.verma14@icloud.com,Wedding,Finger Rings,Wanted made-to-order in finger rings; the lead time of 6-8 weeks didn't work for me.,Customization Not Offered
377,2026-04-24,X5,Riya Smith,riya.smith35@gmail.com,Birthday,Necklace,Wanted made-to-order in necklace; the lead time of 6-8 weeks didn't work for me.,Customization Not Offered
378,2026-04-18,X5,Pooja Wilson,pooja.wilson85@hotmail.com,Teen-age Girls,Necklace,Wanted made-to-order in necklace; the lead time of 6-8 weeks didn't work for me. It was for office-going women.,Customization Not Offered
379,2026-04-22,X2,Ethan Johnson,ethan.johnson26@outlook.com,Wedding,Anklets,Saw a minimal chain anklet design online and wanted the same in anklets here. Not available.,Design Unavailable
380,2026-03-22,X3,Vikram Clark,vikram.clark84@icloud.com,Everyday Wear,Bangles,Was hoping to find a floral carving style in bangles. Nothing matched what I had in mind. Specifically for office-going women use.,Design Unavailable
381,2026-04-09,X4,Aarav Mehta,aarav.mehta71@hotmail.com,Babies,Anklets,"My family wanted a beaded anklet design in anklets, but the available designs were very limited.",Design Unavailable
382,2026-04-02,X4,Lucas Davis,lucas.davis75@icloud.com,Wedding,Bangles,I wanted something lightweight (under 8g) but the bangles options shown were heavier.,Weight Concerns
383,2026-04-01,X5,Ava Smith,ava.smith97@outlook.com,Everyday Wear,Necklace,Wanted a slight design change on the necklace; staff said customization is not possible right now. Specifically for office-going women use.,Customization Not Offered
384,2026-05-11,X6,Noah Johnson,noah.johnson80@hotmail.com,Babies,Finger Rings,Wanted the finger rings in rose gold but only yellow gold was available. It was for everyday wear.,Color/Finish Mismatch
385,2026-05-08,X6,Mia Sharma,mia.sharma43@gmail.com,Wedding,Finger Rings,The hallmark and purity details on the finger rings were not clearly communicated. Specifically for teen-age girls use.,Quality Concerns
386,2026-04-15,X1,Aarav Sharma,aarav.sharma39@yahoo.com,Wedding,Finger Rings,My daughter needed size 8 finger rings; could not find the right size. It was for babies.,Size Unavailable
387,2026-03-15,X3,Aarav Wilson,aarav.wilson97@icloud.com,Teen-age Girls,Anklets,Looking for kids size in anklets. The sizes available didn't fit. Specifically for office-going women use.,Size Unavailable
388,2026-02-19,X6,Sneha Nair,sneha.nair12@icloud.com,Office-going Women,Finger Rings,The polish/finishing on the finger rings looked uneven to me.,Quality Concerns
389,2026-04-10,X6,Liam Clark,liam.clark36@icloud.com,Birthday,Ear Rings,The polish/finishing on the ear rings looked uneven to me. It was for babies.,Quality Concerns
390,2026-02-26,X6,Zoe Mehta,zoe.mehta64@yahoo.com,Birthday,Bangles,Found a beautiful bangles but it crossed my below 1 lakh budget by a lot. Specifically for birthday use.,Price Too High
391,2026-02-18,X6,Ishita Brown,ishita.brown89@gmail.com,Office-going Women,Bangles,Wanted a slight design change on the bangles; staff said customization is not possible right now.,Customization Not Offered
392,2026-04-08,X5,Anjali Patel,anjali.patel10@yahoo.com,Office-going Women,Finger Rings,I wanted something under 15g for daily wear but the finger rings options shown were heavier.,Weight Concerns
393,2026-04-29,X6,Ava Patel,ava.patel4@icloud.com,Teen-age Girls,Bangles,The bangles I liked was way over my budget. I was hoping for something under 10k.,Price Too High
394,2026-03-11,X4,Ethan Iyer,ethan.iyer4@hotmail.com,Everyday Wear,Bangles,I wanted something under 15g for daily wear but the bangles options shown were heavier.,Weight Concerns
395,2026-04-23,X2,Ishita Clark,ishita.clark43@gmail.com,Birthday,Bangles,Family member wanted to be present before buying the bangles. It was for office-going women.,Others
396,2026-02-24,X3,Charlotte Nair,charlotte.nair52@gmail.com,Teen-age Girls,Necklace,The necklace I liked wasn't available in 16 inch.,Size Unavailable
397,2026-03-31,X3,Tara Mehta,tara.mehta56@icloud.com,Birthday,Necklace,Was hoping to find a long haar style in necklace. Nothing matched what I had in mind.,Design Unavailable
398,2026-05-07,X4,Mia Taylor,mia.taylor36@gmail.com,Everyday Wear,Bangles,Saw the exact bangles I wanted in the catalogue but it's not in the store currently.,Stock Unavailable
399,2026-03-05,X1,Grace Anderson,grace.anderson67@icloud.com,Birthday,Bangles,"My family wanted a floral carving design in bangles, but the available designs were very limited. Specifically for office-going women use.",Design Unavailable
400,2026-03-29,X6,Aditi Smith,aditi.smith63@icloud.com,Office-going Women,Necklace,Found a beautiful necklace but it crossed my below 1 lakh budget by a lot. The piece was meant for office-going women.,Price Too High
401,2026-02-11,X5,Ethan Mehta,ethan.mehta12@yahoo.com,Birthday,Anklets,Saw the exact anklets I wanted in the catalogue but it's not in the store currently. Specifically for babies use.,Stock Unavailable
402,2026-03-25,X3,Rohit Clark,rohit.clark15@icloud.com,Babies,Necklace,The hallmark and purity details on the necklace were not clearly communicated.,Quality Concerns
403,2026-02-11,X1,Charlotte Davis,charlotte.davis59@outlook.com,Birthday,Finger Rings,The hallmark and purity details on the finger rings were not clearly communicated. The piece was meant for babies.,Quality Concerns
404,2026-02-19,X4,Grace Verma,grace.verma67@gmail.com,Teen-age Girls,Anklets,Waited a long time to be attended for the anklets I wanted to see.,Sales Service
405,2026-02-22,X2,Mia Wilson,mia.wilson51@icloud.com,Wedding,Finger Rings,My daughter needed size 6 finger rings; could not find the right size. The piece was meant for everyday wear.,Size Unavailable
406,2026-02-24,X1,Aarav Johnson,aarav.johnson40@outlook.com,Birthday,Finger Rings,The sales staff was busy and I couldn't get enough help while choosing the finger rings.,Sales Service
407,2026-03-30,X1,Ethan Taylor,ethan.taylor70@hotmail.com,Babies,Bangles,I came specifically looking for a bridal kundan bangles but the store didn't have it. Specifically for everyday wear use.,Design Unavailable
408,2026-03-03,X2,Vikram Clark,vikram.clark40@yahoo.com,Wedding,Ear Rings,Saw the exact ear rings I wanted in the catalogue but it's not in the store currently. It was for babies.,Stock Unavailable
409,2026-03-08,X1,Rohit Khan,rohit.khan76@outlook.com,Everyday Wear,Bangles,The bangles I wanted to buy is completely out of stock at the moment.,Stock Unavailable
410,2026-04-27,X2,Chloe Sharma,chloe.sharma86@outlook.com,Teen-age Girls,Necklace,Saw the exact necklace I wanted in the catalogue but it's not in the store currently. The piece was meant for birthday.,Stock Unavailable
411,2026-03-17,X5,Ethan Anderson,ethan.anderson38@hotmail.com,Everyday Wear,Ear Rings,Wanted the ear rings in white gold but only yellow gold was available.,Color/Finish Mismatch
412,2026-03-31,X4,Harper Verma,harper.verma87@hotmail.com,Babies,Necklace,Saw a long haar design online and wanted the same in necklace here. Not available. It was for wedding.,Design Unavailable
413,2026-02-17,X6,Mia Anderson,mia.anderson86@yahoo.com,Wedding,Bangles,Found a beautiful bangles but it crossed my under 50k budget by a lot.,Price Too High
414,2026-04-30,X2,Ishita Sharma,ishita.sharma46@icloud.com,Everyday Wear,Anklets,I wasn't fully convinced about the finish quality on the anklets I tried.,Quality Concerns
415,2026-04-06,X4,Rohit Anderson,rohit.anderson83@gmail.com,Office-going Women,Finger Rings,The finger rings I wanted to buy is completely out of stock at the moment.,Stock Unavailable
416,2026-04-21,X1,Riya Mehta,riya.mehta23@hotmail.com,Wedding,Finger Rings,Needed size 6 for finger rings but staff said it's out of stock right now.,Size Unavailable
417,2026-04-19,X3,Sneha Sharma,sneha.sharma81@gmail.com,Teen-age Girls,Anklets,Looking for 10 inch in anklets. The sizes available didn't fit.,Size Unavailable
418,2026-03-24,X2,Noah Wilson,noah.wilson71@hotmail.com,Babies,Ear Rings,I wanted something lightweight (under 8g) but the ear rings options shown were heavier.,Weight Concerns
419,2026-03-03,X3,Ishita Davis,ishita.davis65@yahoo.com,Wedding,Anklets,Needed 10 inch for anklets but staff said it's out of stock right now. It was for teen-age girls.,Size Unavailable
420,2026-03-16,X6,Liam Sharma,liam.sharma96@yahoo.com,Babies,Finger Rings,The hallmark and purity details on the finger rings were not clearly communicated. Specifically for everyday wear use.,Quality Concerns
421,2026-03-31,X5,Amelia Davis,amelia.davis11@icloud.com,Babies,Ear Rings,Needed medium drops for ear rings but staff said it's out of stock right now. Specifically for wedding use.,Size Unavailable
422,2026-02-18,X1,Sophia Anderson,sophia.anderson70@icloud.com,Office-going Women,Bangles,Was hoping to find a bridal kundan style in bangles. Nothing matched what I had in mind.,Design Unavailable
423,2026-05-02,X2,Sophia Mehta,sophia.mehta11@outlook.com,Babies,Finger Rings,"Looking for a lightweight (under 8g) finger rings, but in-store stock was much heavier.",Weight Concerns
424,2026-04-07,X5,Rohit Mehta,rohit.mehta11@icloud.com,Teen-age Girls,Anklets,Was told the anklets model is sold out and would take 3-4 weeks to restock. It was for everyday wear.,Stock Unavailable
425,2026-04-09,X6,Ishita Davis,ishita.davis65@gmail.com,Office-going Women,Finger Rings,The polish/finishing on the finger rings looked uneven to me. Specifically for birthday use.,Quality Concerns
426,2026-03-31,X1,Riya Patel,riya.patel67@hotmail.com,Wedding,Bangles,Was hoping to find a star design style in bangles. Nothing matched what I had in mind.,Design Unavailable
427,2026-04-14,X1,Emma Sharma,emma.sharma75@gmail.com,Everyday Wear,Ear Rings,The ear rings I wanted to buy is completely out of stock at the moment. It was for birthday.,Stock Unavailable
428,2026-03-06,X2,Priya Reddy,priya.reddy1@hotmail.com,Birthday,Ear Rings,Was told the ear rings model is sold out and would take 3-4 weeks to restock. Specifically for office-going women use.,Stock Unavailable
429,2026-04-13,X1,Sanjana Clark,sanjana.clark35@hotmail.com,Wedding,Anklets,The anklets I liked was way over my budget. I was hoping for something below 1 lakh. The piece was meant for birthday.,Price Too High
430,2026-02-26,X1,Liam Anderson,liam.anderson71@gmail.com,Wedding,Ear Rings,Was actually looking for a different category but happened to browse ear rings too.,Others
431,2026-04-30,X5,Chloe Mehta,chloe.mehta34@outlook.com,Birthday,Necklace,"I just came in to compare prices today, will revisit later for the necklace. The piece was meant for teen-age girls.",Others
432,2026-05-10,X4,Meera Reddy,meera.reddy92@icloud.com,Office-going Women,Finger Rings,The finger rings I liked wasn't available in adjustable.,Size Unavailable
433,2026-02-26,X4,Charlotte Mehta,charlotte.mehta73@icloud.com,Everyday Wear,Ear Rings,The polish/finishing on the ear rings looked uneven to me. Specifically for office-going women use.,Quality Concerns
434,2026-04-02,X1,Ishita Sharma,ishita.sharma74@hotmail.com,Office-going Women,Bangles,Wanted the bangles in antique finish but only yellow gold was available. The piece was meant for birthday.,Color/Finish Mismatch
435,2026-05-10,X4,Sneha Smith,sneha.smith99@outlook.com,Birthday,Bangles,Wanted a slight design change on the bangles; staff said customization is not possible right now.,Customization Not Offered
436,2026-03-30,X1,Ishita Patel,ishita.patel53@hotmail.com,Birthday,Necklace,Found a beautiful necklace but it crossed my under 50k budget by a lot.,Price Too High
437,2026-04-27,X1,Charlotte Sharma,charlotte.sharma34@yahoo.com,Birthday,Finger Rings,Looking for size 12 in finger rings. The sizes available didn't fit. Specifically for everyday wear use.,Size Unavailable
438,2026-04-24,X5,Amelia Davis,amelia.davis38@hotmail.com,Babies,Ear Rings,Family member wanted to be present before buying the ear rings.,Others
439,2026-02-16,X5,Amelia Mehta,amelia.mehta68@icloud.com,Birthday,Ear Rings,Was looking for a rose gold finish on ear rings; could not find a matching piece.,Color/Finish Mismatch
440,2026-02-16,X4,Anjali Reddy,anjali.reddy69@yahoo.com,Wedding,Finger Rings,I wasn't fully convinced about the finish quality on the finger rings I tried. It was for teen-age girls.,Quality Concerns
441,2026-05-01,X6,Zoe Mehta,zoe.mehta19@hotmail.com,Teen-age Girls,Bangles,Saw a thin polki design online and wanted the same in bangles here. Not available.,Design Unavailable
442,2026-03-18,X2,Harper Brown,harper.brown22@gmail.com,Teen-age Girls,Anklets,Saw the exact anklets I wanted in the catalogue but it's not in the store currently. The piece was meant for teen-age girls.,Stock Unavailable
443,2026-03-05,X4,Ethan Sharma,ethan.sharma41@hotmail.com,Teen-age Girls,Bangles,I wanted something around 12g but the bangles options shown were heavier. The piece was meant for babies.,Weight Concerns
444,2026-05-05,X1,Zoe Smith,zoe.smith12@hotmail.com,Wedding,Necklace,Looking for 18 inch in necklace. The sizes available didn't fit. The piece was meant for teen-age girls.,Size Unavailable
445,2026-03-08,X2,Harper Reddy,harper.reddy87@gmail.com,Wedding,Ear Rings,The ear rings I wanted to buy is completely out of stock at the moment. It was for wedding.,Stock Unavailable
446,2026-03-17,X5,Kavya Davis,kavya.davis28@yahoo.com,Wedding,Ear Rings,Saw the exact ear rings I wanted in the catalogue but it's not in the store currently.,Stock Unavailable
447,2026-05-11,X2,Aarav Davis,aarav.davis55@gmail.com,Teen-age Girls,Necklace,Found a beautiful necklace but it crossed my under 50k budget by a lot.,Price Too High
448,2026-03-17,X6,Harper Smith,harper.smith48@outlook.com,Birthday,Necklace,The necklace I wanted to buy is completely out of stock at the moment. It was for office-going women.,Stock Unavailable
449,2026-02-11,X3,Aditi Reddy,aditi.reddy24@outlook.com,Everyday Wear,Anklets,The anklets I liked wasn't available in 10 inch.,Size Unavailable
450,2026-04-21,X5,Rohit Johnson,rohit.johnson20@hotmail.com,Everyday Wear,Finger Rings,I came specifically looking for a solitaire finger rings but the store didn't have it.,Design Unavailable
451,2026-02-25,X4,Kavya Patel,kavya.patel71@yahoo.com,Teen-age Girls,Finger Rings,Looking for size 8 in finger rings. The sizes available didn't fit. Specifically for everyday wear use.,Size Unavailable
452,2026-03-21,X6,Lily Taylor,lily.taylor61@yahoo.com,Everyday Wear,Bangles,Found a beautiful bangles but it crossed my under 50k budget by a lot. Specifically for office-going women use.,Price Too High
